y_coordinate ,y_index,x_coordinate ,x_index
-412000.0,5396,-4022250.0,538
-348000.0,5332,-4024250.0,536
-285000.0,5269,-4026250.0,534
-222000.0,5206,-4028250.0,532
-158000.0,5142,-4029250.0,531
-95000.0,5079,-4030250.0,530
-32000.0,5016,-4030250.0,530
32000.0,4952,-4030250.0,530
95000.0,4889,-4030250.0,530
158000.0,4826,-4029250.0,531
222000.0,4762,-4028250.0,532
285000.0,4699,-4026250.0,534
348000.0,4636,-4024250.0,536
412000.0,4572,-4022250.0,538
475000.0,4509,-4019250.0,541
538000.0,4446,-4016250.0,544
601000.0,4383,-4013250.0,547
665000.0,4319,-4009250.0,551
728000.0,4256,-4005250.0,555
791000.0,4193,-4000250.0,560
854000.0,4130,-3995250.0,565
917000.0,4067,-3990250.0,570
981000.0,4003,-3984250.0,576
1044000.0,3940,-3978250.0,582
1107000.0,3877,-3972250.0,588
1170000.0,3814,-3965250.0,595
1233000.0,3751,-3958250.0,602
1295000.0,3689,-3950250.0,610
1358000.0,3626,-3942250.0,618
1421000.0,3563,-3934250.0,626
1484000.0,3500,-3925250.0,635
1546000.0,3438,-3916250.0,644
1609000.0,3375,-3907250.0,653
1672000.0,3312,-3897250.0,663
1734000.0,3250,-3887250.0,673
1797000.0,3187,-3876250.0,684
1859000.0,3125,-3865250.0,695
1921000.0,3063,-3854250.0,706
1984000.0,3000,-3842250.0,718
2046000.0,2938,-3830250.0,730
2108000.0,2876,-3818250.0,742
2170000.0,2814,-3805250.0,755
2232000.0,2752,-3792250.0,768
2294000.0,2690,-3778250.0,782
2356000.0,2628,-3764250.0,796
2417000.0,2567,-3750250.0,810
2479000.0,2505,-3735250.0,825
2541000.0,2443,-3720250.0,840
2602000.0,2382,-3705250.0,855
2663000.0,2321,-3689250.0,871
2725000.0,2259,-3673250.0,887
2786000.0,2198,-3656250.0,904
2847000.0,2137,-3639250.0,921
2908000.0,2076,-3622250.0,938
2969000.0,2015,-3605250.0,955
3029000.0,1955,-3587250.0,973
3090000.0,1894,-3568250.0,992
3151000.0,1833,-3550250.0,1010
3211000.0,1773,-3531250.0,1029
3271000.0,1713,-3511250.0,1049
3331000.0,1653,-3491250.0,1069
3391000.0,1593,-3471250.0,1089
3451000.0,1533,-3451250.0,1109
3511000.0,1473,-3430250.0,1130
3571000.0,1413,-3409250.0,1151
3630000.0,1354,-3387250.0,1173
3690000.0,1294,-3365250.0,1195
3749000.0,1235,-3343250.0,1217
3808000.0,1176,-3320250.0,1240
3867000.0,1117,-3297250.0,1263
3926000.0,1058,-3274250.0,1286
3985000.0,999,-3250250.0,1310
4044000.0,940,-3226250.0,1334
4102000.0,882,-3202250.0,1358
4160000.0,824,-3177250.0,1383
4219000.0,765,-3152250.0,1408
4277000.0,707,-3126250.0,1434
4334000.0,650,-3100250.0,1460
4392000.0,592,-3074250.0,1486
4450000.0,534,-3048250.0,1512
4507000.0,477,-3021250.0,1539
4564000.0,420,-2994250.0,1566
4621000.0,363,-2966250.0,1594
4678000.0,306,-2938250.0,1622
4735000.0,249,-2910250.0,1650
4791000.0,193,-2882250.0,1678
4848000.0,136,-2853250.0,1707
4904000.0,80,-2823250.0,1737
4960000.0,24,-2794250.0,1766
-3072000.0,8056,-3508250.0,1052
-3011000.0,7995,-3526250.0,1034
-2951000.0,7935,-3544250.0,1016
-2890000.0,7874,-3561250.0,999
-2830000.0,7814,-3579250.0,981
-2769000.0,7753,-3595250.0,965
-2708000.0,7692,-3612250.0,948
-2647000.0,7631,-3628250.0,932
-2586000.0,7570,-3644250.0,916
-2525000.0,7509,-3659250.0,901
-2464000.0,7448,-3674250.0,886
-2403000.0,7387,-3688250.0,872
-2342000.0,7326,-3703250.0,857
-2280000.0,7264,-3716250.0,844
-2219000.0,7203,-3730250.0,830
-2157000.0,7141,-3743250.0,817
-2095000.0,7079,-3756250.0,804
-2034000.0,7018,-3768250.0,792
-1972000.0,6956,-3780250.0,780
-1910000.0,6894,-3792250.0,768
-1848000.0,6832,-3803250.0,757
-1786000.0,6770,-3814250.0,746
-1724000.0,6708,-3824250.0,736
-1662000.0,6646,-3835250.0,725
-1600000.0,6584,-3844250.0,716
-1537000.0,6521,-3854250.0,706
-1475000.0,6459,-3863250.0,697
-1413000.0,6397,-3871250.0,689
-1350000.0,6334,-3880250.0,680
-1288000.0,6272,-3888250.0,672
-1225000.0,6209,-3895250.0,665
-1163000.0,6147,-3902250.0,658
-1100000.0,6084,-3909250.0,651
-1037000.0,6021,-3916250.0,644
-975000.0,5959,-3922250.0,638
-912000.0,5896,-3927250.0,633
-849000.0,5833,-3932250.0,628
-786000.0,5770,-3937250.0,623
-724000.0,5708,-3942250.0,618
-661000.0,5645,-3946250.0,614
-598000.0,5582,-3950250.0,610
-535000.0,5519,-3953250.0,607
-472000.0,5456,-3956250.0,604
-409000.0,5393,-3959250.0,601
-346000.0,5330,-3961250.0,599
-283000.0,5267,-3963250.0,597
-220000.0,5204,-3965250.0,595
-157000.0,5141,-3966250.0,594
-94000.0,5078,-3966250.0,594
-31000.0,5015,-3967250.0,593
31000.0,4953,-3967250.0,593
94000.0,4890,-3966250.0,594
157000.0,4827,-3966250.0,594
220000.0,4764,-3965250.0,595
283000.0,4701,-3963250.0,597
346000.0,4638,-3961250.0,599
409000.0,4575,-3959250.0,601
472000.0,4512,-3956250.0,604
535000.0,4449,-3953250.0,607
598000.0,4386,-3950250.0,610
661000.0,4323,-3946250.0,614
724000.0,4260,-3942250.0,618
786000.0,4198,-3937250.0,623
849000.0,4135,-3932250.0,628
912000.0,4072,-3927250.0,633
975000.0,4009,-3922250.0,638
1037000.0,3947,-3916250.0,644
1100000.0,3884,-3909250.0,651
1163000.0,3821,-3902250.0,658
1225000.0,3759,-3895250.0,665
1288000.0,3696,-3888250.0,672
1350000.0,3634,-3880250.0,680
1413000.0,3571,-3871250.0,689
1475000.0,3509,-3863250.0,697
1537000.0,3447,-3854250.0,706
1600000.0,3384,-3844250.0,716
1662000.0,3322,-3835250.0,725
1724000.0,3260,-3824250.0,736
1786000.0,3198,-3814250.0,746
1848000.0,3136,-3803250.0,757
1910000.0,3074,-3792250.0,768
1972000.0,3012,-3780250.0,780
2034000.0,2950,-3768250.0,792
2095000.0,2889,-3756250.0,804
2157000.0,2827,-3743250.0,817
2219000.0,2765,-3730250.0,830
2280000.0,2704,-3716250.0,844
2342000.0,2642,-3703250.0,857
2403000.0,2581,-3688250.0,872
2464000.0,2520,-3674250.0,886
2525000.0,2459,-3659250.0,901
2586000.0,2398,-3644250.0,916
2647000.0,2337,-3628250.0,932
2708000.0,2276,-3612250.0,948
2769000.0,2215,-3595250.0,965
2830000.0,2154,-3579250.0,981
2890000.0,2094,-3561250.0,999
2951000.0,2033,-3544250.0,1016
3011000.0,1973,-3526250.0,1034
3072000.0,1912,-3508250.0,1052
3132000.0,1852,-3489250.0,1071
3192000.0,1792,-3470250.0,1090
3252000.0,1732,-3451250.0,1109
3311000.0,1673,-3431250.0,1129
3371000.0,1613,-3411250.0,1149
3431000.0,1553,-3391250.0,1169
3490000.0,1494,-3370250.0,1190
3550000.0,1434,-3349250.0,1211
3609000.0,1375,-3328250.0,1232
3668000.0,1316,-3306250.0,1254
3727000.0,1257,-3284250.0,1276
3786000.0,1198,-3261250.0,1299
3844000.0,1140,-3238250.0,1322
3903000.0,1081,-3215250.0,1345
3961000.0,1023,-3191250.0,1369
4019000.0,965,-3168250.0,1392
4078000.0,906,-3143250.0,1417
4135000.0,849,-3119250.0,1441
4193000.0,791,-3094250.0,1466
4251000.0,733,-3068250.0,1492
4308000.0,676,-3043250.0,1517
4366000.0,618,-3017250.0,1543
4423000.0,561,-2990250.0,1570
4480000.0,504,-2964250.0,1596
4537000.0,447,-2937250.0,1623
4594000.0,390,-2909250.0,1651
4650000.0,334,-2882250.0,1678
4707000.0,277,-2854250.0,1706
4763000.0,221,-2825250.0,1735
4819000.0,165,-2796250.0,1764
4875000.0,109,-2767250.0,1793
4930000.0,54,-2738250.0,1822
-3053000.0,8037,-3448250.0,1112
-2993000.0,7977,-3466250.0,1094
-2933000.0,7917,-3484250.0,1076
-2873000.0,7857,-3501250.0,1059
-2813000.0,7797,-3518250.0,1042
-2752000.0,7736,-3535250.0,1025
-2692000.0,7676,-3551250.0,1009
-2632000.0,7616,-3567250.0,993
-2571000.0,7555,-3583250.0,977
-2510000.0,7494,-3598250.0,962
-2449000.0,7433,-3613250.0,947
-2389000.0,7373,-3627250.0,933
-2328000.0,7312,-3641250.0,919
-2266000.0,7250,-3655250.0,905
-2205000.0,7189,-3668250.0,892
-2144000.0,7128,-3681250.0,879
-2083000.0,7067,-3694250.0,866
-2021000.0,7005,-3706250.0,854
-1960000.0,6944,-3718250.0,842
-1898000.0,6882,-3730250.0,830
-1837000.0,6821,-3741250.0,819
-1775000.0,6759,-3752250.0,808
-1714000.0,6698,-3762250.0,798
-1652000.0,6636,-3772250.0,788
-1590000.0,6574,-3782250.0,778
-1528000.0,6512,-3792250.0,768
-1466000.0,6450,-3801250.0,759
-1404000.0,6388,-3809250.0,751
-1342000.0,6326,-3817250.0,743
-1280000.0,6264,-3825250.0,735
-1218000.0,6202,-3833250.0,727
-1156000.0,6140,-3840250.0,720
-1093000.0,6077,-3847250.0,713
-1031000.0,6015,-3853250.0,707
-969000.0,5953,-3859250.0,701
-906000.0,5890,-3865250.0,695
-844000.0,5828,-3870250.0,690
-782000.0,5766,-3875250.0,685
-719000.0,5703,-3879250.0,681
-657000.0,5641,-3883250.0,677
-594000.0,5578,-3887250.0,673
-532000.0,5516,-3890250.0,670
-469000.0,5453,-3893250.0,667
-407000.0,5391,-3896250.0,664
-344000.0,5328,-3898250.0,662
-282000.0,5266,-3900250.0,660
-219000.0,5203,-3902250.0,658
-156000.0,5140,-3903250.0,657
-94000.0,5078,-3904250.0,656
-31000.0,5015,-3904250.0,656
31000.0,4953,-3904250.0,656
94000.0,4890,-3904250.0,656
156000.0,4828,-3903250.0,657
219000.0,4765,-3902250.0,658
282000.0,4702,-3900250.0,660
344000.0,4640,-3898250.0,662
407000.0,4577,-3896250.0,664
469000.0,4515,-3893250.0,667
532000.0,4452,-3890250.0,670
594000.0,4390,-3887250.0,673
657000.0,4327,-3883250.0,677
719000.0,4265,-3879250.0,681
782000.0,4202,-3875250.0,685
844000.0,4140,-3870250.0,690
906000.0,4078,-3865250.0,695
969000.0,4015,-3859250.0,701
1031000.0,3953,-3853250.0,707
1093000.0,3891,-3847250.0,713
1156000.0,3828,-3840250.0,720
1218000.0,3766,-3833250.0,727
1280000.0,3704,-3825250.0,735
1342000.0,3642,-3817250.0,743
1404000.0,3580,-3809250.0,751
1466000.0,3518,-3801250.0,759
1528000.0,3456,-3792250.0,768
1590000.0,3394,-3782250.0,778
1652000.0,3332,-3772250.0,788
1714000.0,3270,-3762250.0,798
1775000.0,3209,-3752250.0,808
1837000.0,3147,-3741250.0,819
1898000.0,3086,-3730250.0,830
1960000.0,3024,-3718250.0,842
2021000.0,2963,-3706250.0,854
2083000.0,2901,-3694250.0,866
2144000.0,2840,-3681250.0,879
2205000.0,2779,-3668250.0,892
2266000.0,2718,-3655250.0,905
2328000.0,2656,-3641250.0,919
2389000.0,2595,-3627250.0,933
2449000.0,2535,-3613250.0,947
2510000.0,2474,-3598250.0,962
2571000.0,2413,-3583250.0,977
2632000.0,2352,-3567250.0,993
2692000.0,2292,-3551250.0,1009
2752000.0,2232,-3535250.0,1025
2813000.0,2171,-3518250.0,1042
2873000.0,2111,-3501250.0,1059
2933000.0,2051,-3484250.0,1076
2993000.0,1991,-3466250.0,1094
3053000.0,1931,-3448250.0,1112
3113000.0,1871,-3429250.0,1131
3173000.0,1811,-3410250.0,1150
3232000.0,1752,-3391250.0,1169
3292000.0,1692,-3372250.0,1188
3351000.0,1633,-3352250.0,1208
3410000.0,1574,-3331250.0,1229
3469000.0,1515,-3311250.0,1249
3528000.0,1456,-3290250.0,1270
3587000.0,1397,-3269250.0,1291
3646000.0,1338,-3247250.0,1313
3704000.0,1280,-3225250.0,1335
3763000.0,1221,-3202250.0,1358
3821000.0,1163,-3180250.0,1380
3879000.0,1105,-3157250.0,1403
3937000.0,1047,-3133250.0,1427
3995000.0,989,-3109250.0,1451
4053000.0,931,-3085250.0,1475
4111000.0,873,-3061250.0,1499
4168000.0,816,-3036250.0,1524
4225000.0,759,-3011250.0,1549
4283000.0,701,-2985250.0,1575
4340000.0,644,-2960250.0,1600
4397000.0,587,-2933250.0,1627
4453000.0,531,-2907250.0,1653
4510000.0,474,-2880250.0,1680
4566000.0,418,-2853250.0,1707
4622000.0,362,-2825250.0,1735
4678000.0,306,-2797250.0,1763
4734000.0,250,-2769250.0,1791
4790000.0,194,-2741250.0,1819
4845000.0,139,-2712250.0,1848
4901000.0,83,-2682250.0,1878
4956000.0,28,-2653250.0,1907
-3035000.0,8019,-3388250.0,1172
-2975000.0,7959,-3406250.0,1154
-2916000.0,7900,-3423250.0,1137
-2856000.0,7840,-3441250.0,1119
-2796000.0,7780,-3458250.0,1102
-2736000.0,7720,-3474250.0,1086
-2676000.0,7660,-3490250.0,1070
-2616000.0,7600,-3506250.0,1054
-2556000.0,7540,-3522250.0,1038
-2495000.0,7479,-3537250.0,1023
-2435000.0,7419,-3552250.0,1008
-2374000.0,7358,-3566250.0,994
-2314000.0,7298,-3580250.0,980
-2253000.0,7237,-3594250.0,966
-2192000.0,7176,-3607250.0,953
-2131000.0,7115,-3620250.0,940
-2070000.0,7054,-3633250.0,927
-2009000.0,6993,-3645250.0,915
-1948000.0,6932,-3657250.0,903
-1887000.0,6871,-3668250.0,892
-1826000.0,6810,-3679250.0,881
-1765000.0,6749,-3690250.0,870
-1703000.0,6687,-3701250.0,859
-1642000.0,6626,-3711250.0,849
-1580000.0,6564,-3720250.0,840
-1519000.0,6503,-3730250.0,830
-1457000.0,6441,-3739250.0,821
-1396000.0,6380,-3747250.0,813
-1334000.0,6318,-3755250.0,805
-1272000.0,6256,-3763250.0,797
-1210000.0,6194,-3771250.0,789
-1149000.0,6133,-3778250.0,782
-1087000.0,6071,-3784250.0,776
-1025000.0,6009,-3791250.0,769
-963000.0,5947,-3797250.0,763
-901000.0,5885,-3802250.0,758
-839000.0,5823,-3807250.0,753
-777000.0,5761,-3812250.0,748
-715000.0,5699,-3817250.0,743
-653000.0,5637,-3821250.0,739
-591000.0,5575,-3825250.0,735
