     6.250,   235.750
     6.250,   236.250
     6.250,   236.750
     6.250,   237.250
     6.250,   237.750
     6.250,   238.250
     6.250,   238.750
     6.250,   239.250
     6.250,   239.750
     6.250,   240.250
     6.250,   240.750
     6.250,   241.250
     6.250,   241.750
     6.250,   242.250
     6.250,   242.750
     6.250,   243.250
     6.250,   243.750
     6.250,   244.250
     6.250,   244.750
     6.250,   245.250
     6.250,   245.750
     6.250,   246.250
     6.250,   246.750
     6.250,   247.250
     6.250,   247.750
     6.250,   248.250
     6.250,   248.750
     6.250,   249.250
     6.250,   249.750
     6.250,   250.250
     6.250,   250.750
     6.250,   251.250
     6.250,   251.750
     6.250,   252.250
     6.250,   252.750
     6.250,   253.250
     6.250,   253.750
     6.250,   254.250
     6.250,   254.750
     6.250,   255.250
     6.250,   255.750
     6.250,   256.250
     6.250,   256.750
     6.250,   257.250
     6.250,   257.750
     6.250,   258.250
     6.250,   258.750
     6.250,   259.250
     6.250,   259.750
     6.250,   260.250
     6.250,   260.750
     6.250,   261.250
     6.250,   261.750
     6.250,   262.250
     6.250,   262.750
     6.250,   263.250
     6.250,   263.750
     6.250,   264.250
     6.250,   264.750
     6.250,   265.250
     6.250,   265.750
     6.250,   266.250
     6.250,   266.750
     6.250,   267.250
     6.250,   267.750
     6.250,   268.250
     6.250,   268.750
     6.250,   269.250
     6.250,   269.750
     6.250,   270.250
     6.250,   270.750
     6.250,   271.250
     6.250,   271.750
     6.250,   272.250
     6.250,   272.750
     6.250,   273.250
     6.250,   273.750
     6.250,   274.250
     6.250,   274.750
     6.250,   275.250
     6.250,   275.750
     6.250,   276.250
     6.250,   276.750
     6.250,   277.250
     6.250,   277.750
     6.250,   278.250
     6.250,   278.750
     6.250,   279.250
     6.250,   279.750
     6.250,   280.250
     6.250,   280.750
     6.250,   281.250
     6.250,   281.750
     6.250,   282.250
     6.250,   282.750
     6.250,   283.250
     6.250,   283.750
     6.250,   284.250
     6.250,   284.750
     6.250,   285.250
     6.250,   285.750
     6.250,   286.250
     6.250,   286.750
     6.250,   287.250
     6.250,   287.750
     6.250,   288.250
     6.250,   288.750
     6.250,   289.250
     6.250,   289.750
     6.250,   290.250
     6.250,   290.750
     6.250,   291.250
     6.250,   291.750
     6.250,   292.250
     6.250,   292.750
